No,Compound name,SMILES,Lecithin(%),pH,DMSO_Conc (w/v%),Donor_Plate_Volume (µm),Acceptor_Plate_Volume (µm),Temperature (??,Incubation_Time (hr),%T/MR,Pe,logPe,Source
1,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,5.5,5,300,300,25,17,45.37,20.92,-4.67943832,https://www.sciencedirect.com/science/article/pii/S0928098717300179
2,1A,CC(CC(=O)O)(C1=CC=C(C=C1)C2=CC=CC=C2)O,1,5.5,5,300,300,25,17,4.47,0.82,-6.086186148,https://www.sciencedirect.com/science/article/pii/S0928098717300179
3,1B,CC(C(=O)O)C(C)(C1=CC=C(C=C1)C2=CC=CC=C2)O,1,5.5,5,300,300,25,17,18.18,3.96,-5.402304814,https://www.sciencedirect.com/science/article/pii/S0928098717300179
4,1C,CC(C)(C(=O)O)C(C)(C1=CC=C(C=C1)C2=CC=CC=C2)O,1,5.5,5,300,300,25,17,30.74,8.36,-5.077793723,https://www.sciencedirect.com/science/article/pii/S0928098717300179
5,2A,C1=CC=C(C=C1)C(CC(=O)O)(C2=CC=CC=C2)O,1,5.5,5,300,300,25,17,1.55,0.28,-6.552841969,https://www.sciencedirect.com/science/article/pii/S0928098717300179
6,2B,CC(C(=O)O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,1,5.5,5,300,300,25,17,0.59,0.1,-7,https://www.sciencedirect.com/science/article/pii/S0928098717300179
7,2C,CC(C)(C(=O)O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,1,5.5,5,300,300,25,17,16.86,3.6,-5.443697499,https://www.sciencedirect.com/science/article/pii/S0928098717300179
8,2APN,C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1[N+]([O-])=O,1,5.5,5,300,300,25,17,0.99,0.18,-6.744727495,https://www.sciencedirect.com/science/article/pii/S0928098717300179
9,2APTF,C(C(F)(F)F)1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1,1,5.5,5,300,300,25,17,8.66,1.6,-5.795880017,https://www.sciencedirect.com/science/article/pii/S0928098717300179
10,2APH,C1=CC=C(C=C1)C(CC(=O)O)(C2=CC=C(C=C2)Cl)O,1,5.5,5,300,300,25,17,5.06,0.93,-6.031517051,https://www.sciencedirect.com/science/article/pii/S0928098717300179
11,2APM,CC1=CC=C(C=C1)C(CC(=O)O)(C2=CC=CC=C2)O,1,5.5,5,300,300,25,17,3.67,0.67,-6.173925197,https://www.sciencedirect.com/science/article/pii/S0928098717300179
12,2AMTF,C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1C(F)(F)F,1,5.5,5,300,300,25,17,7.12,1.35,-5.869666232,https://www.sciencedirect.com/science/article/pii/S0928098717300179
13,2AMH,C1=CC=C(C(O[H])(C2=CC=CC=C2)CC(=O)O)C=C1Cl,1,5.5,5,300,300,25,17,5.88,1.09,-5.962573502,https://www.sciencedirect.com/science/article/pii/S0928098717300179
14,2AMM,CC1=CC(=CC=C1)C(CC(=O)O)(C2=CC=CC=C2)O,1,5.5,5,300,300,25,17,3.91,0.71,-6.148741651,https://www.sciencedirect.com/science/article/pii/S0928098717300179
